weight;word;color;url
4;Softwarearchitektur;;/leistungen/softwarearchitektur
4;Softwareentwicklung;;
4;Kommunikation;;
3;Java;;
3;Kotlin;;
3;Typescript;;
3;Agile;;
3;Clean Code;;
3;CSS;;
3;DDD;;
3;HTML;;
2;AWS;;
2;Cucumber;;
2;Deno;;
2;EC2;;
2;ECS;;
2;Elastic;;
2;Express;;
2;Figma;;
2;Gewaltfrei;;
2;LXC;;
2;Terraform;;
2;VS Code;;
1;Android;;
1;Angular;;
1;axum;;
1;Caddy;;
1;Cloudformation;;
1;Confluence;;
1;Debian;;
1;Docker;;
1;Dropwizard;;
1;ETS;;
1;Gherkin;;
1;git;;
1;Github Actions;;
1;Gitlab CI;;
1;Groovy;;
1;Hibernate;;
1;HTTP;;
1;HTTP2;;
1;Inkscape;;
1;IntelliJ;;
1;JAX-RS;;
1;Jest;;
1;Jira;;
1;JNI;;
1;JPA;;
1;JSF;;
1;JSON;;
1;JSON-API;;
1;Junit;;
1;Kafka;;
1;KNX;;
1;macOS;;
1;Magnolia;;
1;Magnolia CMS;;
1;Mockito;;
1;MongoDB;;
1;Mongoose;;
1;MySQL;;
1;Nest.JS;;
1;nginx;;
1;node.js;;
1;openAPI;;
1;Parcel;;
1;PostgreSQL;;
1;Quarkus;;
1;Redpanda;;
1;resteasy;;
1;Rocket;;
2;Rust;;
1;Scrum;;
1;SCS;;
1;Selenium;;
1;Sketch;;
1;Soap UI;;
1;Spring;;
1;Sublime;;
1;Svelte;;
1;Swagger;;
1;Tomcat;;
1;Transaktionsanalyse;;
1;Ubuntu;;
1;Vaadin;;
1;Vue.js;;
1;Webpack;;
1;WSS;;
1;XML;;
1;XSD;;
1;XSLT;;
